@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3}

@data
1,'2018/01/18 19:41:59:632',1,0.095842,0.343297,0.236532,0.739608,0.417174,0.398634,0.866247,0.910183,0.406959,0.923158,1,0.62441,0.170922,0.105053,0.146446,0.136574,0.037665,0.047169,0.014014,0.007243,0.007208,0.00672,0.005842,0.006763,0.006041,?
2,'2018/01/18 19:41:59:646',1,0.133116,0.238264,0.215951,0.526085,0.30526,0.382066,0.534437,1,0.247589,0.860676,1,0.506084,0.175581,0.108817,0.135854,0.086505,0.032715,0.127479,0.142835,0.073856,0.070827,0.052958,0.058063,0.070496,0.061569,?
3,'2018/01/18 19:41:59:653',1,0.114866,0.325312,0.224855,0.337424,0.334596,0.465479,0.407441,1,0.202953,0.889733,1,0.57447,0.167954,0.102303,0.145493,0.085991,0.035563,0.124399,0.146402,0.074032,0.070497,0.049509,0.05702,0.070562,0.061655,?
4,'2018/01/18 19:41:59:665',1,0.102678,0.431488,0.262964,0.524515,0.308978,0.347574,0.446865,0.974881,0.277968,0.865186,0.839552,0.836047,0.162764,0.121676,0.135699,0.105447,0.035339,0.044201,0.01678,0.010499,0.010213,0.007649,0.007418,0.0084,0.006922,?
5,'2018/01/18 19:41:59:676',1,0.062013,0.589408,0.259927,0.663794,0.389864,0.331623,0.51189,1,0.416062,0.843064,0.924923,1,0.237903,0.139752,0.16209,0.137663,0.046879,0.055245,0.013885,0.005293,0.005398,0.005256,0.004155,0.004442,0.002592,?
6,'2018/01/18 19:41:59:687',1,0.05592,0.460799,0.254342,0.628705,0.460377,0.409873,0.525795,1,0.459488,0.731279,0.902782,1,0.380237,0.191363,0.18133,0.210646,0.050025,0.061398,0.013439,0.004672,0.004941,0.010291,0.004176,0.003987,0.002109,?
7,'2018/01/18 19:41:59:699',1,0.063064,0.520111,0.350159,0.435228,0.563244,0.433908,1,1,0.482577,0.634505,0.807466,1,0.54254,0.158094,0.206216,0.28871,0.055433,0.046574,0.004233,0.004347,0.003689,0.007344,0.002753,0.002773,0.001498,?
8,'2018/01/18 19:41:59:711',1,0.090705,0.337467,0.479365,0.39562,0.434099,0.410914,1,0.694373,0.417598,0.284083,0.722404,0.813857,0.46388,0.100564,0.125521,0.238642,0.036057,0.027199,0.004371,0.00245,0.002115,0.003608,0.001613,0.001633,0.00109,?
9,'2018/01/18 19:41:59:722',1,0.149571,0.344468,0.385405,0.412841,0.254888,0.250996,0.547563,0.419607,0.154557,0.183848,0.41393,0.427222,0.219842,0.050669,0.073643,0.100525,0.016235,0.010853,0.003439,0.001408,0.00094,0.001425,0.000693,0.000772,0.000557,?
10,'2018/01/18 19:41:59:734',1,0.106794,0.315366,0.225382,0.210906,0.116016,0.071195,0.243031,0.249779,0.142144,0.10716,0.281387,0.189708,0.067524,0.040369,0.029278,0.024751,0.00893,0.005843,0.001937,0.001031,0.000856,0.000734,0.000455,0.000322,0.000247,?
