@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2018/01/18 18:15:24:633',1,0,0,0,0,0
2,'2018/01/18 18:15:24:653',1,0,0,0,0,0
3,'2018/01/18 18:15:24:673',1,0,0,0,0,0
4,'2018/01/18 18:15:24:693',1,0,0,0,0,0
5,'2018/01/18 18:15:24:713',1,0,0,0,0,0
6,'2018/01/18 18:15:24:733',1,0,0,0,0,0
7,'2018/01/18 18:15:24:753',1,0,0,0,0,0
8,'2018/01/18 18:15:24:773',1,0,0,0,0,0
9,'2018/01/18 18:15:24:793',1,0,0,0,0,0
10,'2018/01/18 18:15:24:813',1,0,0,0,0,0
11,'2018/01/18 18:15:24:833',1,0,0,0,0,0
12,'2018/01/18 18:15:24:853',1,0,0,0,0,0
13,'2018/01/18 18:15:24:873',1,0,0,0,0,0
14,'2018/01/18 18:15:24:893',1,0,0,0,0,0
15,'2018/01/18 18:15:24:913',1,0,0,0,0,0
16,'2018/01/18 18:15:24:933',1,0,0,0,0,0
17,'2018/01/18 18:15:24:953',1,0,0,0,0,0
18,'2018/01/18 18:15:24:973',1,0,0,0,0,0
19,'2018/01/18 18:15:24:993',1,0,0,0,0,0
20,'2018/01/18 18:15:25:013',1,0,0,0,0,0
21,'2018/01/18 18:15:25:033',1,0,0,0,0,0
22,'2018/01/18 18:15:25:053',1,0,0,0,0,0
23,'2018/01/18 18:15:25:073',1,0,0,0,0,0
24,'2018/01/18 18:15:25:093',1,0,0,0,0,0
25,'2018/01/18 18:15:25:113',1,0,0,0,0,0
26,'2018/01/18 18:15:25:133',1,0,0,0,0,0
27,'2018/01/18 18:15:25:153',1,0,0,0,0,0
28,'2018/01/18 18:15:25:173',1,0,0,0,0,0
29,'2018/01/18 18:15:25:193',1,0,0,0,0,0
30,'2018/01/18 18:15:25:213',1,0,0,0,0,0
31,'2018/01/18 18:15:25:233',1,0,0,0,0,0
32,'2018/01/18 18:15:25:253',1,0,0,0,0,0
33,'2018/01/18 18:15:25:273',1,0,0,0,0,0
34,'2018/01/18 18:15:25:293',1,0,0,0,0,0
35,'2018/01/18 18:15:25:313',1,0,0,0,0,0
36,'2018/01/18 18:15:25:333',1,0,0,0,0,0
37,'2018/01/18 18:15:25:353',1,0,0,0,0,0
38,'2018/01/18 18:15:25:373',1,0,0,0,0,0
39,'2018/01/18 18:15:25:393',1,0,0,0,0,0
40,'2018/01/18 18:15:25:413',1,0,0,0,0,0
41,'2018/01/18 18:15:25:433',1,0,0,0,0,0
42,'2018/01/18 18:15:25:453',1,0,0,0,0,0
43,'2018/01/18 18:15:25:473',1,0,0,0,0,0
44,'2018/01/18 18:15:25:493',1,0,0,0,0,0
45,'2018/01/18 18:15:25:513',1,0,0,0,0,0
46,'2018/01/18 18:15:25:533',1,0,0,0,0,0
47,'2018/01/18 18:15:25:553',1,0,0,0,0,0
48,'2018/01/18 18:15:25:573',1,0,0,0,0,0
49,'2018/01/18 18:15:25:593',1,0,0,0,0,0
50,'2018/01/18 18:15:25:613',1,0,0,0,0,0
51,'2018/01/18 18:15:25:633',1,0,0,0,0,0
52,'2018/01/18 18:15:25:653',1,0,0,0,0,0
53,'2018/01/18 18:15:25:673',1,0,0,0,0,0
54,'2018/01/18 18:15:25:693',1,0,0,0,0,0
55,'2018/01/18 18:15:25:713',1,0,0,0,0,0
